Date,Open,High,Low,Close,Adj Close,Volume
2019-10-24,22725.439453,22780.990234,22704.330078,22750.599609,22750.599609,61300
2019-10-25,22753.240234,22819.919922,22715.130859,22799.810547,22799.810547,57200
2019-10-28,22854.439453,22896.220703,22830.570313,22867.269531,22867.269531,48100
2019-10-29,22950.789063,23008.429688,22935.349609,22974.130859,22974.130859,72900
2019-10-30,22953.169922,22961.230469,22827.929688,22843.119141,22843.119141,101600
2019-10-31,22910.099609,22988.800781,22875.500000,22927.039063,22927.039063,78300
2019-11-01,22730.490234,22852.720703,22705.599609,22850.769531,22850.769531,65400
2019-11-05,23118.789063,23328.519531,23090.939453,23251.990234,23251.990234,102100
2019-11-06,23343.509766,23352.560547,23246.570313,23303.820313,23303.820313,77400
2019-11-07,23283.140625,23336.000000,23253.320313,23330.320313,23330.320313,70900
2019-11-08,23550.039063,23591.089844,23313.410156,23391.869141,23391.869141,94600
2019-11-11,23422.130859,23471.820313,23323.019531,23331.839844,23331.839844,61500
2019-11-12,23336.369141,23545.699219,23312.250000,23520.009766,23520.009766,63000
2019-11-13,23439.250000,23452.630859,23270.929688,23319.869141,23319.869141,63400
2019-11-14,23325.500000,23360.060547,23062.160156,23141.550781,23141.550781,79900
2019-11-15,23160.529297,23340.769531,23121.589844,23303.320313,23303.320313,72200
2019-11-18,23304.250000,23420.619141,23271.289063,23416.759766,23416.759766,57300
2019-11-19,23366.359375,23389.529297,23244.929688,23292.650391,23292.650391,64200
2019-11-20,23176.490234,23303.169922,23086.119141,23148.570313,23148.570313,65700
2019-11-21,23071.490234,23108.080078,22726.710938,23038.580078,23038.580078,69800
2019-11-22,23030.330078,23219.509766,23030.330078,23112.880859,23112.880859,55600
2019-11-25,23292.849609,23347.179688,23255.390625,23292.810547,23292.810547,50300
2019-11-26,23451.400391,23608.060547,23350.099609,23373.320313,23373.320313,94300
2019-11-27,23452.849609,23507.820313,23418.230469,23437.769531,23437.769531,52200
2019-11-28,23458.880859,23482.320313,23367.330078,23409.140625,23409.140625,44800
2019-11-29,23497.439453,23498.769531,23273.369141,23293.910156,23293.910156,52100
2019-12-02,23388.630859,23562.050781,23378.400391,23529.500000,23529.500000,47700
2019-12-03,23231.140625,23388.179688,23186.839844,23379.810547,23379.810547,58800
2019-12-04,23186.740234,23203.769531,23044.779297,23135.230469,23135.230469,58100
2019-12-05,23292.699219,23363.439453,23259.820313,23300.089844,23300.089844,61400
2019-12-06,23347.669922,23412.480469,23338.400391,23354.400391,23354.400391,54400
2019-12-09,23544.310547,23544.310547,23360.009766,23430.699219,23430.699219,55800
2019-12-10,23372.390625,23449.470703,23336.929688,23410.189453,23410.189453,52800
2019-12-11,23421.140625,23438.429688,23333.630859,23391.859375,23391.859375,61300
2019-12-12,23449.279297,23468.150391,23360.429688,23424.810547,23424.810547,56300
2019-12-13,23810.560547,24050.039063,23775.730469,24023.099609,24023.099609,115500
2019-12-16,23955.199219,24036.300781,23950.050781,23952.349609,23952.349609,53300
2019-12-17,24091.119141,24091.119141,23996.509766,24066.119141,24066.119141,64000
2019-12-18,24023.269531,24046.089844,23919.359375,23934.429688,23934.429688,66300
2019-12-19,23911.460938,23945.529297,23835.289063,23864.849609,23864.849609,55600
2019-12-20,23893.449219,23908.769531,23746.630859,23816.630859,23816.630859,70300
2019-12-23,23921.289063,23923.089844,23810.820313,23821.109375,23821.109375,45200
2019-12-24,23839.179688,23853.560547,23796.349609,23830.580078,23830.580078,37900
2019-12-25,23813.589844,23824.849609,23782.869141,23782.869141,23782.869141,31600
2019-12-26,23787.699219,23931.509766,23775.400391,23924.919922,23924.919922,40300
2019-12-27,23953.750000,23967.179688,23837.720703,23837.720703,23837.720703,44800
2019-12-30,23770.929688,23782.490234,23656.619141,23656.619141,23656.619141,41600
2020-01-06,23319.759766,23365.359375,23148.529297,23204.859375,23204.859375,72800
2020-01-07,23320.119141,23577.439453,23299.919922,23575.720703,23575.720703,64300
2020-01-08,23217.490234,23303.210938,22951.179688,23204.759766,23204.759766,79400
2020-01-09,23530.289063,23767.089844,23506.150391,23739.869141,23739.869141,62200
2020-01-10,23813.279297,23903.289063,23761.080078,23850.570313,23850.570313,55900
2020-01-14,23969.039063,24059.859375,23951.660156,24025.169922,24025.169922,64200
2020-01-15,23923.480469,23997.390625,23875.820313,23916.580078,23916.580078,57200
2020-01-16,23960.199219,23975.380859,23905.380859,23933.130859,23933.130859,55400
2020-01-17,24103.449219,24115.949219,24013.750000,24041.259766,24041.259766,59400
2020-01-20,24080.679688,24108.109375,24061.669922,24083.509766,24083.509766,38300
2020-01-21,24072.810547,24081.750000,23843.480469,23864.560547,23864.560547,44600
2020-01-22,23835.490234,24040.869141,23831.099609,24031.349609,24031.349609,49000
2020-01-23,23843.509766,23910.009766,23779.230469,23795.439453,23795.439453,55500
2020-01-24,23850.119141,23869.380859,23755.320313,23827.179688,23827.179688,48700
2020-01-27,23427.900391,23463.890625,23317.320313,23343.509766,23343.509766,62400
2020-01-28,23126.929688,23243.359375,23115.150391,23215.710938,23215.710938,64400
2020-01-29,23309.320313,23392.609375,23214.279297,23379.400391,23379.400391,54900
2020-01-30,23284.580078,23318.570313,22892.949219,22977.750000,22977.750000,69600
2020-01-31,23148.919922,23421.589844,23139.980469,23205.179688,23205.179688,75400
2020-02-03,22874.269531,23023.730469,22775.919922,22971.939453,22971.939453,72500
2020-02-04,22881.130859,23118.130859,22854.449219,23084.589844,23084.589844,67900
2020-02-05,23351.470703,23414.689453,23241.640625,23319.560547,23319.560547,70300
2020-02-06,23641.099609,23995.369141,23625.130859,23873.589844,23873.589844,95100
2020-02-07,23899.009766,23943.449219,23759.419922,23827.980469,23827.980469,65400
2020-02-10,23631.789063,23788.250000,23621.720703,23685.980469,23685.980469,56500
2020-02-12,23741.210938,23869.730469,23693.720703,23861.210938,23861.210938,74600
2020-02-13,23849.759766,23908.849609,23784.310547,23827.730469,23827.730469,64500
2020-02-14,23714.519531,23738.419922,23603.480469,23687.589844,23687.589844,69100
2020-02-17,23489.779297,23561.980469,23335.990234,23523.240234,23523.240234,54000
2020-02-18,23398.570313,23402.009766,23133.599609,23193.800781,23193.800781,59500
2020-02-19,23329.330078,23468.560547,23234.960938,23400.699219,23400.699219,61600
2020-02-20,23666.580078,23806.560547,23426.419922,23479.150391,23479.150391,63300
2020-02-21,23427.769531,23588.550781,23378.330078,23386.740234,23386.740234,62100
2020-02-25,22949.369141,22950.230469,22335.210938,22605.410156,22605.410156,105800
2020-02-26,22374.140625,22456.550781,22127.419922,22426.189453,22426.189453,99300
2020-02-27,22255.830078,22272.259766,21844.289063,21948.230469,21948.230469,106200
2020-02-28,21518.009766,21528.130859,20916.400391,21142.960938,21142.960938,148500
2020-03-02,20849.789063,21593.109375,20834.289063,21344.080078,21344.080078,123700
2020-03-03,21651.990234,21719.779297,21082.730469,21082.730469,21082.730469,105300
2020-03-04,20897.199219,21245.929688,20862.050781,21100.060547,21100.060547,94600
